HITId,HITTypeId,WorkerId,Answer.surveycode
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A111ZFNLXK1TCO,9103053
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A129DU6FOHUVNO,868199
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A13XXMDHOULEZ7,4588012
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A16FOIQ3XIWPQA,4470744
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A19CKDMMK8Z6QC,497668
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A19F8HPC2YMNCB,6259432
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1AZLJ3R5FQ9B7,4878535
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1DKZ5MAIZC6L2,3045280
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1DZMZTXWOM9MR,1088726
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1F9KLZGHE9DTA,130528
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1GFGZJPLCHHFH,2225693
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1HPDURSL05DVC,8299526
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1IAMNSZB9U4Z1,1002004
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1J50BL5JH2DBE,303991
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1KEA2Z47S3UPI,384983
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1MFQBQRNANOD6,7239882
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1O0B8163G7W0N,1979670
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1ORUO2MGV9AT6,59927
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,A1OSNZPSG3HP9I,256325
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1OX5KXDZAVQPJ,6978851
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1PV0Y78FMUYCK,9555686
