startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID2257_BROWSER,QID2257_VERSION,QID2257_OS,QID2257_RESOLUTION,QID499,QID2264,QID2265,QID2261_FIRST_CLICK,QID2261_LAST_CLICK,QID2261_PAGE_SUBMIT,QID2261_CLICK_COUNT,QID2268_FIRST_CLICK,QID2268_LAST_CLICK,QID2268_PAGE_SUBMIT,QID2268_CLICK_COUNT,QID2266_FIRST_CLICK,QID2266_LAST_CLICK,QID2266_PAGE_SUBMIT,QID2266_CLICK_COUNT,QID2282_FIRST_CLICK,QID2282_LAST_CLICK,QID2282_PAGE_SUBMIT,QID2282_CLICK_COUNT,QID2346_FIRST_CLICK,QID2346_LAST_CLICK,QID2346_PAGE_SUBMIT,QID2346_CLICK_COUNT,QID2345_FIRST_CLICK,QID2345_LAST_CLICK,QID2345_PAGE_SUBMIT,QID2345_CLICK_COUNT,QID2344_FIRST_CLICK,QID2344_LAST_CLICK,QID2344_PAGE_SUBMIT,QID2344_CLICK_COUNT,QID2343_FIRST_CLICK,QID2343_LAST_CLICK,QID2343_PAGE_SUBMIT,QID2343_CLICK_COUNT,QID2342_FIRST_CLICK,QID2342_LAST_CLICK,QID2342_PAGE_SUBMIT,QID2342_CLICK_COUNT,QID2276_FIRST_CLICK,QID2276_LAST_CLICK,QID2276_PAGE_SUBMIT,QID2276_CLICK_COUNT,QID2290_FIRST_CLICK,QID2290_LAST_CLICK,QID2290_PAGE_SUBMIT,QID2290_CLICK_COUNT,QID2295_FIRST_CLICK,QID2295_LAST_CLICK,QID2295_PAGE_SUBMIT,QID2295_CLICK_COUNT,QID2301_FIRST_CLICK,QID2301_LAST_CLICK,QID2301_PAGE_SUBMIT,QID2301_CLICK_COUNT,QID2306_FIRST_CLICK,QID2306_LAST_CLICK,QID2306_PAGE_SUBMIT,QID2306_CLICK_COUNT,QID2311_FIRST_CLICK,QID2311_LAST_CLICK,QID2311_PAGE_SUBMIT,QID2311_CLICK_COUNT,QID2279_FIRST_CLICK,QID2279_LAST_CLICK,QID2279_PAGE_SUBMIT,QID2279_CLICK_COUNT,QID2292_FIRST_CLICK,QID2292_LAST_CLICK,QID2292_PAGE_SUBMIT,QID2292_CLICK_COUNT,QID2299_FIRST_CLICK,QID2299_LAST_CLICK,QID2299_PAGE_SUBMIT,QID2299_CLICK_COUNT,QID2303_FIRST_CLICK,QID2303_LAST_CLICK,QID2303_PAGE_SUBMIT,QID2303_CLICK_COUNT,QID2308_FIRST_CLICK,QID2308_LAST_CLICK,QID2308_PAGE_SUBMIT,QID2308_CLICK_COUNT,QID2313_FIRST_CLICK,QID2313_LAST_CLICK,QID2313_PAGE_SUBMIT,QID2313_CLICK_COUNT,QID2250,QID2358,QID25,QID25_1_TEXT,QID26,QID2262_distance,QID2269_distance,QID2267_distance,QID2271_distance,QID2273_distance,QID2277_distance,QID2291_distance,QID2296_distance,QID2302_distance,QID2307_distance,QID2312_distance,QID2317_distance,QID2322_distance,QID2327_distance,QID2334_distance,QID2280_distance,QID2293_distance,QID2300_distance,QID2304_distance,QID2309_distance,QID2314_distance,QID2320_distance,QID2324_distance,QID2329_distance,QID2336_distance,QID2283_distance,QID2289_distance,QID2294_distance,QID2305_distance,QID2310_distance,QID2315_distance,QID2318_distance,QID2325_distance,QID2330_distance,QID2337_distance,Create New Field or Choose From Dropdown...,QID2262_scrolls,QID2269_scrolls,QID2267_scrolls,QID2271_scrolls,QID2273_scrolls,QID2277_scrolls,QID2291_scrolls,QID2296_scrolls,QID2302_scrolls,QID2307_scrolls,QID2312_scrolls,QID2317_scrolls,QID2322_scrolls,QID2327_scrolls,QID2334_scrolls,QID2280_scrolls,QID2293_scrolls,QID2300_scrolls,QID2304_scrolls,QID2309_scrolls,QID2314_scrolls,QID2320_scrolls,QID2324_scrolls,QID2329_scrolls,QID2336_scrolls,QID2283_scrolls,QID2289_scrolls,QID2294_scrolls,QID2305_scrolls,QID2310_scrolls,QID2315_scrolls,QID2318_scrolls,QID2325_scrolls,QID2330_scrolls,QID2337_scrolls,mTurkCode,order,condition,QID25_1_TEXT_563208d5077340de8a4ab398Topics,QID25_1_TEXT_563208d5077340de8a4ab398ParTopics,FL_220_DO,FL_61_DO,FL_58_DO,FL_201_DO,FL_199_DO,FL_172_DO,FL_247_DO,FL_261_DO,FL_233_DO,FL_292_DO,FL_306_DO,FL_278_DO,FL_351_DO,FL_337_DO,FL_323_DO,FL_396_DO,FL_368_DO,FL_382_DO,FL_441_DO,FL_413_DO,FL_427_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,UserLanguage - User Language,QID2257_Browser - Browser Meta Info - Browser,QID2257_Version - Browser Meta Info - Version,QID2257_Operating System - Browser Meta Info - Operating System,QID2257_Resolution - Browser Meta Info - Resolution,"QID499 - DISCLAIMER



Due to our experimental design, we only allow participants who have NOT gone through our study to participate in this experiment. Please kindly note that if we later detect that you have already participated in our previous study, we cannot grant you the monetary reward.



Have you participated in our study previously?","QID2264 - Informed Consent Form

 
The purpose and details of this study have been explained to me.  I understand that this study is designed to further scientific knowledge and that all procedures have been approved by the Yale-NUS Undergraduate Research Ethics Committee.","QID2265 - I agree to participate in this study.
 

Note: By acknowledging the above and clicking ""yes"", you will be taken straight to the study.",QID2261_First Click - Timing - First Click,QID2261_Last Click - Timing - Last Click,QID2261_Page Submit - Timing - Page Submit,QID2261_Click Count - Timing - Click Count,QID2268_First Click - Timing - First Click,QID2268_Last Click - Timing - Last Click,QID2268_Page Submit - Timing - Page Submit,QID2268_Click Count - Timing - Click Count,QID2266_First Click - Timing - First Click,QID2266_Last Click - Timing - Last Click,QID2266_Page Submit - Timing - Page Submit,QID2266_Click Count - Timing - Click Count,QID2282_First Click - Timing - First Click,QID2282_Last Click - Timing - Last Click,QID2282_Page Submit - Timing - Page Submit,QID2282_Click Count - Timing - Click Count,QID2346_First Click - Timing - First Click,QID2346_Last Click - Timing - Last Click,QID2346_Page Submit - Timing - Page Submit,QID2346_Click Count - Timing - Click Count,QID2345_First Click - Timing - First Click,QID2345_Last Click - Timing - Last Click,QID2345_Page Submit - Timing - Page Submit,QID2345_Click Count - Timing - Click Count,QID2344_First Click - Timing - First Click,QID2344_Last Click - Timing - Last Click,QID2344_Page Submit - Timing - Page Submit,QID2344_Click Count - Timing - Click Count,QID2343_First Click - Timing - First Click,QID2343_Last Click - Timing - Last Click,QID2343_Page Submit - Timing - Page Submit,QID2343_Click Count - Timing - Click Count,QID2342_First Click - Timing - First Click,QID2342_Last Click - Timing - Last Click,QID2342_Page Submit - Timing - Page Submit,QID2342_Click Count - Timing - Click Count,QID2276_First Click - Timing - First Click,QID2276_Last Click - Timing - Last Click,QID2276_Page Submit - Timing - Page Submit,QID2276_Click Count - Timing - Click Count,QID2290_First Click - Timing - First Click,QID2290_Last Click - Timing - Last Click,QID2290_Page Submit - Timing - Page Submit,QID2290_Click Count - Timing - Click Count,QID2295_First Click - Timing - First Click,QID2295_Last Click - Timing - Last Click,QID2295_Page Submit - Timing - Page Submit,QID2295_Click Count - Timing - Click Count,QID2301_First Click - Timing - First Click,QID2301_Last Click - Timing - Last Click,QID2301_Page Submit - Timing - Page Submit,QID2301_Click Count - Timing - Click Count,QID2306_First Click - Timing - First Click,QID2306_Last Click - Timing - Last Click,QID2306_Page Submit - Timing - Page Submit,QID2306_Click Count - Timing - Click Count,QID2311_First Click - Timing - First Click,QID2311_Last Click - Timing - Last Click,QID2311_Page Submit - Timing - Page Submit,QID2311_Click Count - Timing - Click Count,QID2279_First Click - Timing - First Click,QID2279_Last Click - Timing - Last Click,QID2279_Page Submit - Timing - Page Submit,QID2279_Click Count - Timing - Click Count,QID2292_First Click - Timing - First Click,QID2292_Last Click - Timing - Last Click,QID2292_Page Submit - Timing - Page Submit,QID2292_Click Count - Timing - Click Count,QID2299_First Click - Timing - First Click,QID2299_Last Click - Timing - Last Click,QID2299_Page Submit - Timing - Page Submit,QID2299_Click Count - Timing - Click Count,QID2303_First Click - Timing - First Click,QID2303_Last Click - Timing - Last Click,QID2303_Page Submit - Timing - Page Submit,QID2303_Click Count - Timing - Click Count,QID2308_First Click - Timing - First Click,QID2308_Last Click - Timing - Last Click,QID2308_Page Submit - Timing - Page Submit,QID2308_Click Count - Timing - Click Count,QID2313_First Click - Timing - First Click,QID2313_Last Click - Timing - Last Click,QID2313_Page Submit - Timing - Page Submit,QID2313_Click Count - Timing - Click Count,QID2250 - Have you ever gone through similar experiment run by us?,QID2358 - Did you notice the changes in how the page moved?,QID25 - Did you encounter any problems? - Selected Choice,"QID25_1_TEXT - Did you encounter any problems? - If yes, what kind of problems did you find? - Text",QID26 - Did the pages load correctly?,QID2262_distance,QID2269_distance,QID2267_distance,QID2271_distance,QID2273_distance,QID2277_distance,QID2291_distance,QID2296_distance,QID2302_distance,QID2307_distance,QID2312_distance,QID2317_distance,QID2322_distance,QID2327_distance,QID2334_distance,QID2280_distance,QID2293_distance,QID2300_distance,QID2304_distance,QID2309_distance,QID2314_distance,QID2320_distance,QID2324_distance,QID2329_distance,QID2336_distance,QID2283_distance,QID2289_distance,QID2294_distance,QID2305_distance,QID2310_distance,QID2315_distance,QID2318_distance,QID2325_distance,QID2330_distance,QID2337_distance,Create New Field or Choose From Dropdown...,QID2262_scrolls,QID2269_scrolls,QID2267_scrolls,QID2271_scrolls,QID2273_scrolls,QID2277_scrolls,QID2291_scrolls,QID2296_scrolls,QID2302_scrolls,QID2307_scrolls,QID2312_scrolls,QID2317_scrolls,QID2322_scrolls,QID2327_scrolls,QID2334_scrolls,QID2280_scrolls,QID2293_scrolls,QID2300_scrolls,QID2304_scrolls,QID2309_scrolls,QID2314_scrolls,QID2320_scrolls,QID2324_scrolls,QID2329_scrolls,QID2336_scrolls,QID2283_scrolls,QID2289_scrolls,QID2294_scrolls,QID2305_scrolls,QID2310_scrolls,QID2315_scrolls,QID2318_scrolls,QID2325_scrolls,QID2330_scrolls,QID2337_scrolls,mTurkCode,order,condition,QID25_1_TEXT - Topics,QID25_1_TEXT - Parent Topics,FL_220_DO - FL_220 - Block Randomizer - Display Order,FL_61_DO - FL_61 - Block Randomizer - Display Order,FL_58_DO - FL_58 - Block Randomizer - Display Order,FL_201_DO - FL_201 - Block Randomizer - Display Order,FL_199_DO - FL_199 - Block Randomizer - Display Order,FL_172_DO - FL_172 - Block Randomizer - Display Order,FL_247_DO - FL_247 - Block Randomizer - Display Order,FL_261_DO - FL_261 - Block Randomizer - Display Order,FL_233_DO - FL_233 - Block Randomizer - Display Order,FL_292_DO - FL_292 - Block Randomizer - Display Order,FL_306_DO - FL_306 - Block Randomizer - Display Order,FL_278_DO - FL_278 - Block Randomizer - Display Order,FL_351_DO - FL_351 - Block Randomizer - Display Order,FL_337_DO - FL_337 - Block Randomizer - Display Order,FL_323_DO - FL_323 - Block Randomizer - Display Order,FL_396_DO - FL_396 - Block Randomizer - Display Order,FL_368_DO - FL_368 - Block Randomizer - Display Order,FL_382_DO - FL_382 - Block Randomizer - Display Order,FL_441_DO - FL_441 - Block Randomizer - Display Order,FL_413_DO - FL_413 - Block Randomizer - Display Order,FL_427_DO - FL_427 - Block Randomizer - Display Order
11/2/20 2:48,11/2/20 2:52,IP Address,137.132.215.48,100,256,TRUE,11/2/20 2:52,R_30v4tbOyXyAUIEB,,,,,1.366699219,103.7999878,anonymous,EN,Safari iPhone,13.0.4,iPhone,375x667,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,6.708,0,0,0,6.286,0,0,0,2.744,0,0,0,3.525,0,0,0,8.057,0,0,0,1.929,0,0,0,3.654,0,0,0,25.233,0,0,0,1.836,0,0,0,15.772,0,0,0,19.688,0,0,0,16.019,0,0,0,4.627,0,0,0,19.702,0,0,0,4.733,0,0,0,13.482,0,0,0,3.334,0,0,0,9.458,0,0,0,10.668,0,0,0,8.859,0,0,0,21.361,0,No,Yes,No,,No,994,9560.692241,5985.436968,,,28777.36219,39572.78156,68280.74155,13567.49826,29915.26899,20801.29808,,,,,32463.13054,37395.43837,9153.82901,30584.58751,51412.9934,45966.62861,,,,,4625.037979,8507.842092,436.5702977,5902.270288,20683.86157,0,,,,,,2,7,2,,,10,10,16,4,15,6,,,,,5,2,7,8,5,12,,,,,3,8,1,1,12,0,,,,,6605237,SRN,npm,,,FL_225,Practice2|Practice3|Practice1,FL_59,,,,,,,,,,,,,Smooth5|Smooth3|Smooth4|Smooth1|Smooth2|Smooth6,Rough6|Rough2|Rough3|Rough4|Rough5|Rough1,Normal1|Normal3|Normal2|Normal4|Normal6|Normal5,,,
11/2/20 2:52,11/2/20 2:57,IP Address,137.132.215.48,100,305,TRUE,11/2/20 2:57,R_2YspKjLtMMBTqZm,,,,,1.366699219,103.7999878,anonymous,EN,Safari iPhone,13.0.4,iPhone,375x667,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,3.495,0,0,0,4.756,0,0,0,2.951,0,0,0,4.054,0,0,0,6.049,0,0,0,2.358,0,0,0,4.194,0,0,0,16.676,0,0,0,1.97,0,0,0,3.995,0,0,0,64.899,0,0,0,23.563,0,0,0,6.991,0,0,0,27.857,0,0,0,13.141,0,0,0,10.794,0,0,0,3.708,0,0,0,16.732,0,0,0,2.35,0,0,0,12.221,0,0,0,10.956,0,No,No,No,,Yes,314,24626.85777,7206.679615,,,12048.67494,87442.32197,69911.17579,3298.750782,55938.15267,25336.13685,,,,,4141.484872,55324.21761,52732.61111,32603.29588,36800.01669,28559.24378,,,,,1106.832634,5271.780171,867.9928682,1199.245788,99192.41153,481.8672056,,,,,,1,5,3,,,4,46,20,4,23,9,,,,,6,4,6,2,9,7,,,,,4,7,2,3,17,1,,,,,2817137,RSN,pm,,,FL_222,Practice2|Practice1|Practice3,FL_72,,,,Rough4|Rough2|Rough6|Rough1|Rough5|Rough3,Smooth3|Smooth6|Smooth2|Smooth4|Smooth5|Smooth1,Normal5|Normal4|Normal1|Normal3|Normal6|Normal2,,,,,,,,,,,,
11/2/20 22:26,11/2/20 22:34,IP Address,107.77.235.232,100,521,TRUE,11/2/20 22:35,R_3pt0S44PgbiWKtl,,,,,33.74850464,-84.38710022,anonymous,EN,Chrome,80.0.3987.87,Android 9,412x846,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,7.456,0,0,0,39.901,0,0,0,56.064,0,0,0,12.095,0,0,0,23.216,0,0,0,8.476,0,0,0,12.141,0,0,0,29.856,0,0,0,7.75,0,0,0,21.249,0,0,0,32.511,0,0,0,16.68,0,0,0,21.982,0,0,0,10.829,0,0,0,27.95,0,0,0,18.708,0,0,0,21.917,0,0,0,17.376,0,0,0,23.45,0,0,0,19.614,0,0,0,13.045,0,No,Yes,No,,Yes,2087.572609,6463.507608,17417.15455,,,3290.516975,3891.960476,3302.589211,4426.251625,1586.599285,5109.679901,,,,,2304.104926,6380.118054,3523.86315,3236.174787,4071.511065,2110.443211,,,,,4180.805862,3253.18961,2676.834868,1973.237515,12140.54477,1561.141216,,,,,,3,14,23,,,13,16,10,13,5,17,,,,,9,12,9,8,9,6,,,,,7,11,5,4,16,3,,,,,3581157,RNS,pm,,,FL_224,Practice1|Practice2|Practice3,FL_72,,,,,,,,,,Rough5|Rough2|Rough4|Rough6|Rough3|Rough1,Normal4|Normal6|Normal5|Normal1|Normal3|Normal2,Smooth6|Smooth4|Smooth1|Smooth3|Smooth2|Smooth5,,,,,,
11/2/20 22:25,11/2/20 22:46,IP Address,106.198.42.15,100,1232,TRUE,11/2/20 22:46,R_231AeL4byil5q0t,,,,,11.00750732,76.96710205,anonymous,EN,Chrome,80.0.3987.87,Android 9,360x780,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,105.022,0,0,0,53.215,0,0,0,15.414,0,0,0,10.342,0,0,0,33.658,0,0,0,17.454,0,0,0,21.941,0,0,0,36.515,0,0,0,11.234,0,0,0,222.801,0,0,0,47.435,0,0,0,51.631,0,0,0,91.656,0,0,0,12.298,0,0,0,102.813,0,0,0,36.178,0,0,0,35.871,0,0,0,35.043,0,0,0,92.512,0,0,0,63.125,0,0,0,15.728,0,No,No,No,,Yes,162373.9539,252403.3117,8395.210778,,,200152.125,18288.40583,66555.4178,75378.66892,7348.511808,65029.4469,,,,,11243.12587,12194.38212,13715.81407,140464.6755,100837.7727,6095.424008,,,,,5957.166248,18073.41534,9980.271546,19169.62845,17425.01178,7926.452353,,,,,,75,38,10,,,458,62,84,120,15,169,,,,,36,26,35,84,56,11,,,,,8,33,14,18,31,9,,,,,8991840,NRS,npm,,,FL_221,Practice3|Practice2|Practice1,FL_59,Normal1|Normal6|Normal5|Normal2|Normal3|Normal4,Rough3|Rough5|Rough1|Rough6|Rough4|Rough2,Smooth4|Smooth1|Smooth3|Smooth5|Smooth2|Smooth6,,,,,,,,,,,,,,,
11/2/20 22:44,11/2/20 22:51,IP Address,24.88.233.91,100,413,TRUE,11/2/20 22:51,R_cO5dCEhLpY6QdGh,,,,,34.95410156,-78.73950195,anonymous,EN,Chrome,80.0.3987.87,Android 7.0,360x640,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,10.81,0,0,0,29.765,0,0,0,12.046,0,0,0,9.719,0,0,0,17.452,0,0,0,7.291,0,0,0,8.246,0,0,0,24.79,0,0,0,6.815,0,0,0,14.93,0,0,0,25.356,0,0,0,9.042,0,0,0,24.02,0,0,0,8.789,0,0,0,21.31,0,0,0,17.492,0,0,0,19.958,0,0,0,17.459,0,0,0,18.501,0,0,0,19.708,0,0,0,10.93,0,No,Yes,No,,Yes,19862.21035,31197.01925,15139.52939,,,12968.93291,25235.62872,8841.297445,40373.40965,7427.683113,23912.04997,,,,,15440.46113,15286.74411,11813.49799,18015.80992,28488.55135,7577.039174,,,,,9822.067241,24615.21638,5560.556811,6471.05109,26266.2113,3713.88555,,,,,,9,28,14,,,24,41,13,34,9,38,,,,,11,11,11,11,18,5,,,,,12,24,7,10,38,7,,,,,7870642,RSN,npm,,,FL_222,Practice3|Practice1|Practice2,FL_59,,,,Rough5|Rough3|Rough1|Rough4|Rough6|Rough2,Smooth6|Smooth3|Smooth5|Smooth4|Smooth2|Smooth1,Normal4|Normal1|Normal2|Normal5|Normal3|Normal6,,,,,,,,,,,,
11/2/20 22:51,11/2/20 23:07,IP Address,67.172.52.203,100,992,TRUE,11/2/20 23:07,R_2ClTwb4ggXdE5L0,,,,,41.4355011,-79.69039917,anonymous,EN,Chrome,80.0.3987.87,Android 7.1.1,360x640,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,49.54,0,0,0,33.312,0,7.766,7.766,16.963,1,0,0,17.252,0,0,0,28.987,0,0,0,54.741,0,0,0,53.542,0,0,0,29.661,0,0,0,7.001,0,0,0,24.448,0,0,0,28.001,0,0,0,14.858,0,0,0,18.185,0,0,0,8.558,0,0,0,38.85,0,0,0,30.545,0,0,0,29.802,0,0,0,17.002,0,0,0,95.901,0,0,0,16.901,0,0,0,64.701,0,No,Yes,No,,Yes,30446.10603,5995.454443,1518.021652,,,1369.780763,2550.326474,855.3994682,1397.700908,280.0180223,2462.935663,,,,,2336.655084,1547.193242,1158.465571,68689.66298,2156.992277,4190.220394,,,,,671.4893433,3530.009971,29702.57428,30309.26734,3460.677607,0,,,,,,15,7,3,,,4,8,4,5,1,9,,,,,3,3,2,16,2,7,,,,,2,7,9,13,6,0,,,,,5901780,NRS,pm,,,FL_221,Practice2|Practice1|Practice3,FL_72,Normal4|Normal2|Normal5|Normal3|Normal1|Normal6,Rough6|Rough1|Rough2|Rough4|Rough3|Rough5,Smooth1|Smooth4|Smooth6|Smooth5|Smooth2|Smooth3,,,,,,,,,,,,,,,
11/2/20 22:55,11/2/20 23:09,IP Address,70.237.77.146,100,803,TRUE,11/2/20 23:09,R_2QgFg5LwELcDxJg,,,,,35.27220154,-80.95429993,anonymous,EN,Chrome,78.0.3904.108,Android 9,491x1064,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,8.469,0,0,0,40.568,0,0,0,27.222,0,0,0,6.927,0,4.718,4.718,16.855,1,0,0,8.865,0,0,0,10.185,0,0,0,27.816,0,0,0,6.029,0,0,0,42.083,0,0,0,22.102,0,0,0,11.567,0,0,0,14.992,0,0,0,33.269,0,0,0,21.977,0,0,0,21.809,0,0,0,61.147,0,0,0,126.102,0,0,0,21.024,0,0,0,20.824,0,0,0,14.464,0,No,Yes,"If yes, what kind of problems did you find?",First block was very slow to progress after I hit the word,Yes,6363.218043,18215.13116,7570.436616,,,17200.99642,21416.07129,4305.348442,14927.85241,28924.80593,17208.67755,,,,,12503.50143,79618.54909,131317.7719,8378.291071,6259.004824,12186.66698,,,,,7708.014238,18543.09596,4183.655805,4739.756249,17265.08252,1616.088344,,,,,,1,7,4,,,19,23,5,12,22,13,,,,,5,11,21,6,4,5,,,,,3,10,2,3,10,1,,,,,9706775,SNR,npm,Unknown,,FL_223,Practice2|Practice1|Practice3,FL_59,,,,,,,Smooth2|Smooth5|Smooth1|Smooth4|Smooth3|Smooth6,Normal2|Normal3|Normal6|Normal4|Normal5|Normal1,Rough5|Rough4|Rough1|Rough2|Rough6|Rough3,,,,,,,,,
11/2/20 23:01,11/2/20 23:12,IP Address,203.223.191.154,100,632,TRUE,11/2/20 23:12,R_6fD0Hq9UKvlZ3P3,,,,,11.00750732,76.96710205,anonymous,EN,Chrome,80.0.3987.87,Android 6.0.1,360x640,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,12.505,0,0,0,26.287,0,0,0,10.902,0,0,0,9.203,0,0,0,27.017,0,0,0,29.43,0,0,0,43.586,0,0,0,24.844,0,0,0,46.849,0,0,0,12.247,0,0,0,25.489,0,0,0,29.471,0,0,0,13.665,0,0,0,7.963,0,0,0,59.49,0,0,0,16.379,0,0,0,43.829,0,0,0,11.23,0,0,0,12.668,0,0,0,16.441,0,0,0,8.835,0,No,Yes,No,,Yes,7758.459906,36214.45987,12440.4541,,,13395.10289,24526.90312,65774.14086,15556.76544,5206.095108,66462.1281,,,,,15599.14017,75271.57026,14826.65912,27937.93691,12915.3969,5744.397042,,,,,9413.131198,30148.49847,82834.66975,41521.79785,26608.39416,42178.55569,,,,,,4,14,5,,,12,33,48,12,4,88,,,,,4,19,4,7,5,3,,,,,4,10,21,38,15,36,,,,,9446879,SRN,pm,,,FL_225,Practice2|Practice3|Practice1,FL_72,,,,,,,,,,,,,Smooth1|Smooth5|Smooth3|Smooth4|Smooth2|Smooth6,Rough5|Rough1|Rough3|Rough6|Rough2|Rough4,Normal2|Normal6|Normal1|Normal3|Normal4|Normal5,,,
11/2/20 22:56,11/2/20 23:20,IP Address,157.46.33.173,100,1456,TRUE,11/2/20 23:20,R_1LRL9taH6OV203E,,,,,13.08599854,80.27508545,anonymous,EN,Chrome,79.0.3945.136,Android 8.1.0,393x786,No,"I have read and understood the information sheet and this consent form.,I have had the opportunity to ask questions about my participation.,I understand that I am under no obligation to take part in the study.,I understand that I have the right to withdraw from this study at any stage for any reason, and that I will not be required to explain my reasons for withdrawing. Following withdrawal from the study, all my information will be destroyed/deleted from the project records.,I understand that all the information I provide will be treated in strict confidence.",Yes,0,0,10.123,0,0,0,28.943,0,0,0,21.2,0,0,0,24.324,0,0,0,38.327,0,0,0,9.574,0,0,0,17.217,0,0,0,37.44,0,0,0,6.584,0,0,0,23.601,0,0,0,43.548,0,0,0,15.9,0,0,0,24.837,0,0,0,9.976,0,0,0,47.922,0,0,0,30.624,0,0,0,173.535,0,0,0,24.101,0,0,0,28.397,0,0,0,26.738,0,0,0,15.64,0,No,I'm not sure,No,,Yes,2105.384237,10113.06152,3553.616085,,,4612.648983,13476.6167,5587.509423,12220.44141,715.8955613,9839.410241,,,,,8603.998205,7385.574517,1094.181873,6450.602568,1853.845195,604.3636379,,,,,1094.391757,3132.005156,0,1868.165109,5378.624896,0,,,,,,1,15,5,,,4,8,4,4,1,8,,,,,3,10,2,4,2,1,,,,,2,4,0,2,5,0,,,,,4619654,NSR,pm,,,FL_226,Practice2|Practice3|Practice1,FL_72,,,,,,,,,,,,,,,,Normal1|Normal6|Normal3|Normal5|Normal4|Normal2,Smooth3|Smooth4|Smooth1|Smooth6|Smooth5|Smooth2,Rough6|Rough5|Rough1|Rough2|Rough3|Rough4
